t=2026-07-02T10:54:48+0530 lvl=info msg="command usage" msg="Flag --region has been deprecated, ngrok automatically chooses the region with lowest latency"
t=2026-07-02T10:54:48+0530 lvl=info msg="no configuration paths supplied"
t=2026-07-02T10:54:48+0530 lvl=info msg="using configuration at default config path" path=C:\\Users\\Alex\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-07-02T10:54:48+0530 lvl=info msg="open config file" path=C:\\Users\\Alex\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-07-02T10:54:48+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-07-02T10:54:48+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-07-02T10:54:48+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-07-02T10:54:48+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-07-02T10:58:02+0530 lvl=info msg="join connections" obj=join id=2a6a9f8c1e21 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:02+0530 lvl=info msg="join connections" obj=join id=71ba54847801 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:02+0530 lvl=info msg="join connections" obj=join id=9085b2e7dc4e l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:02+0530 lvl=info msg="join connections" obj=join id=9598adeddcd5 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:02+0530 lvl=info msg="join connections" obj=join id=9c24aaae5388 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:02+0530 lvl=info msg="join connections" obj=join id=e23f479afff4 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:02+0530 lvl=info msg="join connections" obj=join id=3f2f77ce2d31 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:02+0530 lvl=info msg="join connections" obj=join id=008215883d3b l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:02+0530 lvl=info msg="join connections" obj=join id=e3e89a27db1b l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:02+0530 lvl=info msg="join connections" obj=join id=d9682d7e34a7 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:02+0530 lvl=info msg="join connections" obj=join id=fa612b0c145d l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:02+0530 lvl=info msg="join connections" obj=join id=7a2426977119 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:02+0530 lvl=info msg="join connections" obj=join id=82e2310de7a0 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:02+0530 lvl=info msg="join connections" obj=join id=8b9a8bcf378e l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:02+0530 lvl=info msg="join connections" obj=join id=816d839da2da l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
